UINT8, RPM,Thrust (N), PWM (µs)
0,3465,-39.90792904,1100
1,3468,-39.72258662,1104
2,3449,-39.45569354,1108
3,3421,-38.8774252,1112
5,3410,-38.25467469,1116
6,3395,-37.94329943,1120
7,3374,-37.49847763,1124
8,3356,-37.27606673,1128
10,3323,-36.78676275,1132
11,3307,-36.43090531,1136
12,3282,-35.85263697,1140
14,3248,-35.18540428,1144
15,3223,-34.51817158,1148
16,3207,-33.85093888,1152
17,3177,-33.31715272,1156
19,3153,-32.4719913,1160
20,3111,-31.89372297,1164
21,3086,-31.40441899,1168
22,3061,-30.47029321,1172
24,3050,-29.80306051,1176
25,3003,-29.35823871,1180
26,2988,-28.82445255,1184
28,2952,-28.0682555,1188
29,2918,-27.66791588,1192
30,2896,-27.1786119,1196
31,2865,-26.55586138,1200
33,2845,-26.0665574,1204
34,2821,-25.31036034,1208
35,2792,-24.99898509,1212
36,2759,-24.59864547,1216
38,2736,-24.06485931,1220
39,2712,-23.35314443,1224
40,2681,-23.08625135,1228
42,2661,-22.33005429,1232
43,2629,-21.92971467,1236
44,2599,-21.52937506,1240
45,2576,-20.773178,1244
47,2548,-20.41732056,1248
48,2517,-19.83905222,1252
49,2482,-19.39423042,1256
51,2440,-19.03837298,1260
52,2419,-18.23769375,1264
53,2369,-17.79287195,1268
54,2345,-17.30356797,1272
56,2306,-16.68081745,1276
57,2278,-16.36944219,1280
58,2248,-15.79117385,1284
59,2222,-15.25738769,1288
61,2199,-14.85704808,1292
62,2157,-14.590155,1296
63,2140,-14.10085102,1300
65,2106,-13.7005114,1304
66,2081,-13.21120742,1308
67,2040,-12.76638562,1312
68,2001,-12.32156382,1316
70,1968,-11.78777767,1320
71,1936,-11.38743805,1324
72,1903,-10.98709843,1328
73,1870,-10.80916971,1332
75,1840,-10.31986573,1336
76,1807,-10.00849047,1340
77,1773,-9.608150851,1344
79,1738,-9.252293413,1348
80,1705,-8.851953794,1352
81,1667,-8.540578535,1356
82,1630,-8.051274556,1360
84,1589,-7.695417117,1364
85,1554,-7.295077498,1368
86,1519,-7.028184419,1372
87,1482,-6.67232698,1376
89,1448,-6.360951721,1380
90,1410,-6.049576462,1384
91,1362,-5.693719023,1388
93,1325,-5.293379404,1392
94,1285,-5.026486325,1396
95,1246,-4.715111066,1400
96,1199,-4.359253627,1404
98,1153,-4.092360548,1408
99,1113,-3.780985289,1412
100,1064,-3.46961003,1416
102,1016,-3.158234771,1420
103,970,-2.891341691,1424
104,916,-2.535484252,1428
105,869,-2.313073353,1432
107,810,-2.046180274,1436
108,758,-1.779287195,1440
109,697,-1.467911936,1444
110,641,-1.245501036,1448
112,578,-1.023090137,1452
113,513,-0.8451614175,1456
114,450,-0.667232698,1460
116,388,-0.4893039785,1464
117,317,-0.3558574389,1468
118,0,0,1472
119,0,0,1476
121,0,0,1480
122,0,0,1484
123,0,0,1488
124,0,0,1492
126,0,0,1496
127,0,0,1500
128,0,0,1504
130,0,0,1508
131,0,0,1512
132,0,0,1516
133,0,0,1520
135,0,0,1524
136,0,0,1528
137,308,0.4003396188,1532
138,375,0.5337861584,1536
140,441,0.7561970578,1540
141,508,0.9786079571,1544
142,573,1.245501036,1548
144,630,1.512394116,1552
145,688,1.779287195,1556
146,749,2.135144634,1560
147,804,2.446519893,1564
149,859,2.846859512,1568
150,906,3.158234771,1572
151,962,3.51409221,1576
153,1007,3.914431828,1580
154,1057,4.270289267,1584
155,1104,4.626146706,1588
156,1148,5.026486325,1592
158,1195,5.471308124,1596
159,1237,5.916129922,1600
160,1279,6.271987361,1604
161,1319,6.67232698,1608
163,1359,7.072666599,1612
164,1409,7.606452757,1616
165,1444,8.006792376,1620
167,1480,8.540578535,1624
168,1516,8.896435974,1628
169,1549,9.296775592,1632
170,1583,9.741597391,1636
172,1629,10.14193701,1640
173,1668,10.76468753,1644
174,1699,11.20950933,1648
175,1740,11.60984895,1652
177,1766,12.1436351,1656
178,1802,12.54397472,1660
179,1835,13.0332787,1664
181,1865,13.61154704,1668
182,1901,14.10085102,1672
183,1930,14.54567282,1676
184,1961,15.07945898,1680
186,1994,15.56876295,1684
187,2031,16.19151347,1688
188,2071,16.59185309,1692
189,2106,17.25908579,1696
191,2129,17.88183631,1700
192,2160,18.41562247,1704
193,2190,18.94940862,1708
195,2219,19.52767696,1712
196,2244,20.06146312,1716
197,2266,20.81766018,1720
198,2305,21.35144634,1724
200,2342,21.75178596,1728
201,2392,22.33005429,1732
202,2416,23.35314443,1736
204,2446,23.84244841,1740
205,2475,24.68760983,1744
206,2498,25.26587817,1748
207,2538,26.02207522,1752
209,2584,26.77827228,1756
210,2609,27.04516536,1760
211,2639,27.8458446,1764
212,2663,28.33514858,1768
214,2688,29.18030999,1772
215,2711,29.93650705,1776
216,2735,30.47029321,1780
218,2766,31.09304373,1784
219,2809,31.53786553,1788
220,2822,32.38302694,1792
221,2854,33.09474182,1796
223,2888,33.53956362,1800
224,2903,34.42920722,1804
225,2934,35.363333,1808
226,2973,36.11953005,1812
228,3002,36.65331621,1816
229,3042,37.45399545,1820
230,3065,38.12122815,1824
232,3108,38.78846084,1828
233,3125,39.81155098,1832
234,3153,40.6567124,1836
235,3180,41.72428472,1840
237,3204,42.21358869,1844
238,3242,42.96978575,1848
239,3260,44.21528679,1852
240,3299,44.39321551,1856
242,3308,45.59423436,1860
243,3351,46.1725027,1864
244,3379,46.92869976,1868
246,3406,47.41800374,1872
247,3428,48.35212952,1876
248,3438,49.15280875,1880
249,3455,49.77555927,1884
251,3494,50.44279197,1888
252,3516,50.75416723,1892
253,3527,51.19898903,1896
255,3533,51.43622732,1900
